x,z,t,T,x_norm,z_norm,t_norm,T_norm
4.0,1.0,45.0,33.2,1.3333333333333333,0.5,0.075,0.02417582417582418
4.0,1.0,50.0,36.6,1.3333333333333333,0.5,0.08333333333333333,0.030402930402930406
4.0,1.0,55.0,40.3,1.3333333333333333,0.5,0.09166666666666666,0.03717948717948717
4.0,1.0,60.0,46.2,1.3333333333333333,0.5,0.1,0.04798534798534799
4.0,1.0,65.0,48.3,1.3333333333333333,0.5,0.10833333333333334,0.05183150183150183
4.0,1.0,70.0,49.7,1.3333333333333333,0.5,0.11666666666666667,0.054395604395604404
4.0,1.0,75.0,53.7,1.3333333333333333,0.5,0.125,0.061721611721611724
4.0,1.0,80.0,52.1,1.3333333333333333,0.5,0.13333333333333333,0.05879120879120879
4.0,1.0,85.0,51.7,1.3333333333333333,0.5,0.14166666666666666,0.05805860805860806
4.0,1.0,90.0,51.1,1.3333333333333333,0.5,0.15,0.056959706959706966
4.0,1.0,95.0,59.4,1.3333333333333333,0.5,0.15833333333333333,0.07216117216117215
4.0,1.0,100.0,67.0,1.3333333333333333,0.5,0.16666666666666666,0.08608058608058608
4.0,1.0,105.0,62.4,1.3333333333333333,0.5,0.175,0.07765567765567766
4.0,1.0,110.0,62.8,1.3333333333333333,0.5,0.18333333333333332,0.07838827838827839
4.0,1.0,115.0,67.3,1.3333333333333333,0.5,0.19166666666666668,0.08663003663003663
4.0,1.0,120.0,69.5,1.3333333333333333,0.5,0.2,0.09065934065934066
4.0,1.0,125.0,73.2,1.3333333333333333,0.5,0.20833333333333334,0.09743589743589744
4.0,1.0,130.0,75.7,1.3333333333333333,0.5,0.21666666666666667,0.10201465201465201
4.0,1.0,135.0,76.9,1.3333333333333333,0.5,0.225,0.10421245421245422
4.0,1.0,140.0,74.7,1.3333333333333333,0.5,0.23333333333333334,0.10018315018315019
4.0,1.0,145.0,79.6,1.3333333333333333,0.5,0.24166666666666667,0.10915750915750914
4.0,1.0,150.0,81.1,1.3333333333333333,0.5,0.25,0.1119047619047619
4.0,1.0,155.0,81.7,1.3333333333333333,0.5,0.25833333333333336,0.113003663003663
4.0,1.0,160.0,86.0,1.3333333333333333,0.5,0.26666666666666666,0.12087912087912088
4.0,1.0,165.0,89.3,1.3333333333333333,0.5,0.275,0.12692307692307692
4.0,1.0,170.0,91.1,1.3333333333333333,0.5,0.2833333333333333,0.1302197802197802
4.0,1.0,175.0,97.8,1.3333333333333333,0.5,0.2916666666666667,0.14249084249084248
4.0,1.0,180.0,94.2,1.3333333333333333,0.5,0.3,0.13589743589743591
4.0,1.0,185.0,98.1,1.3333333333333333,0.5,0.30833333333333335,0.14304029304029303
4.0,1.0,190.0,101.0,1.3333333333333333,0.5,0.31666666666666665,0.14835164835164835
4.0,1.0,195.0,99.9,1.3333333333333333,0.5,0.325,0.14633699633699634
4.0,1.0,200.0,105.0,1.3333333333333333,0.5,0.3333333333333333,0.15567765567765568
4.0,1.0,205.0,115.0,1.3333333333333333,0.5,0.3416666666666667,0.17399267399267399
4.0,1.0,210.0,110.0,1.3333333333333333,0.5,0.35,0.16483516483516483
4.0,1.0,215.0,114.0,1.3333333333333333,0.5,0.35833333333333334,0.17216117216117216
4.0,1.0,220.0,112.0,1.3333333333333333,0.5,0.36666666666666664,0.1684981684981685
4.0,1.0,225.0,114.0,1.3333333333333333,0.5,0.375,0.17216117216117216
4.0,1.0,230.0,128.0,1.3333333333333333,0.5,0.38333333333333336,0.1978021978021978
4.0,1.0,235.0,139.0,1.3333333333333333,0.5,0.39166666666666666,0.21794871794871795
4.0,1.0,240.0,128.0,1.3333333333333333,0.5,0.4,0.1978021978021978
4.0,1.0,245.0,121.0,1.3333333333333333,0.5,0.4083333333333333,0.184981684981685
4.0,1.0,250.0,143.0,1.3333333333333333,0.5,0.4166666666666667,0.22527472527472528
4.0,1.0,255.0,149.0,1.3333333333333333,0.5,0.425,0.23626373626373626
4.0,1.0,260.0,156.0,1.3333333333333333,0.5,0.43333333333333335,0.2490842490842491
4.0,1.0,265.0,166.0,1.3333333333333333,0.5,0.44166666666666665,0.2673992673992674
4.0,1.0,270.0,137.0,1.3333333333333333,0.5,0.45,0.21428571428571427
